t,intent_slot,intent_conf,robot_goal_slot
0.000,A,0.900,A
0.200,A,0.900,A
0.400,A,0.900,A
0.600,A,0.900,A
0.800,A,0.900,A
1.000,A,0.900,A
1.200,A,0.900,A
1.400,A,0.900,A
1.600,A,0.900,A
1.800,A,0.900,A
2.000,A,0.900,A
2.200,A,0.900,A
2.400,A,0.900,A
2.600,A,0.900,A
2.800,A,0.900,A
3.000,A,0.900,A
3.200,A,0.900,A
3.400,A,0.900,A
3.600,A,0.900,A
3.800,A,0.900,A
4.000,A,0.900,A
4.200,A,0.900,A
4.400,A,0.900,A
4.600,A,0.900,A
4.800,A,0.900,A
5.000,A,0.900,A
5.200,A,0.900,A
5.400,A,0.900,A
5.600,A,0.900,A
5.800,A,0.900,A
6.000,A,0.900,A
6.200,A,0.900,A
6.400,A,0.900,A
6.600,A,0.900,A
6.800,A,0.900,A
7.000,A,0.900,A
7.200,A,0.900,A
7.400,A,0.900,A
7.600,A,0.900,A
7.800,A,0.900,A
8.000,A,0.900,A
8.200,A,0.900,A
8.400,A,0.900,A
8.600,A,0.900,A
8.800,A,0.900,A
9.000,A,0.900,A
9.200,A,0.900,A
9.400,A,0.900,A
9.600,A,0.900,A
9.800,A,0.900,A
10.000,B,0.880,A
10.200,B,0.880,A
10.400,B,0.880,A
10.600,B,0.880,A
10.800,B,0.880,A
11.000,B,0.880,A
11.200,B,0.880,A
11.400,B,0.880,A
11.600,B,0.880,A
11.800,B,0.880,A
12.000,B,0.880,A
12.200,B,0.880,A
12.400,B,0.880,A
12.600,B,0.880,A
12.800,B,0.880,A
13.000,B,0.880,A
13.200,B,0.880,A
13.400,B,0.880,A
13.600,B,0.880,A
13.800,B,0.880,A
14.000,B,0.880,A
14.200,B,0.880,A
14.400,B,0.880,A
14.600,B,0.880,A
14.800,B,0.880,A
15.000,C,0.880,B
15.200,C,0.880,B
15.400,C,0.880,B
15.600,C,0.880,B
15.800,C,0.880,B
16.000,C,0.880,B
16.200,C,0.880,B
16.400,C,0.880,B
16.600,C,0.880,B
16.800,C,0.880,B
17.000,C,0.880,B
17.200,C,0.880,B
17.400,C,0.880,B
17.600,C,0.880,B
17.800,C,0.880,B
18.000,C,0.880,B
18.200,C,0.880,B
18.400,C,0.880,B
18.600,C,0.880,B
18.800,C,0.880,B
19.000,C,0.880,B
19.200,C,0.880,B
19.400,C,0.880,B
19.600,C,0.880,B
19.800,C,0.880,B
20.000,B,0.920,B
20.200,B,0.920,B
20.400,B,0.920,B
20.600,B,0.920,B
20.800,B,0.920,B
21.000,B,0.920,B
21.200,B,0.920,B
21.400,B,0.920,B
21.600,B,0.920,B
21.800,B,0.920,B
22.000,B,0.920,B
22.200,B,0.920,B
22.400,B,0.920,B
22.600,B,0.920,B
22.800,B,0.920,B
23.000,B,0.920,B
23.200,B,0.920,B
23.400,B,0.920,B
23.600,B,0.920,B
23.800,B,0.920,B
24.000,B,0.920,B
24.200,B,0.920,B
24.400,B,0.920,B
24.600,B,0.920,B
24.800,B,0.920,B
25.000,C,0.920,C
25.200,C,0.920,C
25.400,C,0.920,C
25.600,C,0.920,C
25.800,C,0.920,C
26.000,C,0.920,C
26.200,C,0.920,C
26.400,C,0.920,C
26.600,C,0.920,C
26.800,C,0.920,C
27.000,C,0.920,C
27.200,C,0.920,C
27.400,C,0.920,C
27.600,C,0.920,C
27.800,C,0.920,C
28.000,C,0.920,C
28.200,C,0.920,C
28.400,C,0.920,C
28.600,C,0.920,C
28.800,C,0.920,C
29.000,C,0.920,C
29.200,C,0.920,C
29.400,C,0.920,C
29.600,C,0.920,C
29.800,C,0.920,C
30.000,,,C
30.200,,,C
30.400,,,C
30.600,,,C
30.800,,,C
31.000,,,C
31.200,,,C
31.400,,,C
31.600,,,C
31.800,,,C
32.000,,,C
32.200,,,C
32.400,,,C
32.600,,,C
32.800,,,C
33.000,,,C
33.200,,,C
33.400,,,C
33.600,,,C
33.800,,,C
34.000,,,C
34.200,,,C
34.400,,,C
34.600,,,C
34.800,,,C
35.000,,,D
35.200,,,D
35.400,,,D
35.600,,,D
35.800,,,D
36.000,,,D
36.200,,,D
36.400,,,D
36.600,,,D
36.800,,,D
37.000,,,D
37.200,,,D
37.400,,,D
37.600,,,D
37.800,,,D
38.000,,,D
38.200,,,D
38.400,,,D
38.600,,,D
38.800,,,D
39.000,,,D
39.200,,,D
39.400,,,D
39.600,,,D
39.800,,,D
40.000,D,0.900,D
40.200,D,0.900,D
40.400,D,0.900,D
40.600,D,0.900,D
40.800,D,0.900,D
41.000,D,0.900,D
41.200,D,0.900,D
41.400,D,0.900,D
41.600,D,0.900,D
41.800,D,0.900,D
42.000,D,0.900,D
42.200,D,0.900,D
42.400,D,0.900,D
42.600,D,0.900,D
42.800,D,0.900,D
43.000,D,0.900,D
43.200,D,0.900,D
43.400,D,0.900,D
43.600,D,0.900,D
43.800,D,0.900,D
44.000,D,0.900,D
44.200,D,0.900,D
44.400,D,0.900,D
44.600,D,0.900,D
44.800,D,0.900,D
45.000,D,0.900,D
45.200,D,0.900,D
45.400,D,0.900,D
45.600,D,0.900,D
45.800,D,0.900,D
46.000,D,0.900,D
46.200,D,0.900,D
46.400,D,0.900,D
46.600,D,0.900,D
46.800,D,0.900,D
47.000,D,0.900,D
47.200,D,0.900,D
47.400,D,0.900,D
47.600,D,0.900,D
47.800,D,0.900,D
48.000,A,0.900,A
48.200,A,0.900,A
48.400,A,0.900,A
48.600,A,0.900,A
48.800,A,0.900,A
49.000,A,0.900,A
49.200,A,0.900,A
49.400,A,0.900,A
49.600,A,0.900,A
49.800,A,0.900,A
50.000,B,0.880,A
50.200,B,0.880,A
50.400,B,0.880,A
50.600,B,0.880,A
50.800,B,0.880,A
51.000,B,0.880,A
51.200,B,0.880,A
51.400,B,0.880,A
51.600,B,0.880,A
51.800,B,0.880,A
52.000,C,0.880,B
52.200,C,0.880,B
52.400,C,0.880,B
52.600,C,0.880,B
52.800,C,0.880,B
53.000,C,0.880,B
53.200,C,0.880,B
53.400,C,0.880,B
53.600,C,0.880,B
53.800,C,0.880,B
54.000,C,0.880,B
54.200,C,0.880,B
54.400,C,0.880,B
54.600,C,0.880,B
54.800,C,0.880,B
55.000,C,0.880,B
55.200,C,0.880,B
55.400,C,0.880,B
55.600,C,0.880,B
55.800,C,0.880,B
56.000,D,0.880,C
56.200,D,0.880,C
56.400,D,0.880,C
56.600,D,0.880,C
56.800,D,0.880,C
57.000,D,0.880,C
57.200,D,0.880,C
57.400,D,0.880,C
57.600,D,0.880,C
57.800,D,0.880,C
58.000,D,0.880,C
58.200,D,0.880,C
58.400,D,0.880,C
58.600,D,0.880,C
58.800,D,0.880,C
59.000,D,0.880,C
59.200,D,0.880,C
59.400,D,0.880,C
59.600,D,0.880,C
59.800,D,0.880,C
60.000,D,0.920,D
