t,intent_slot,intent_conf,robot_goal_slot
0.000,B,0.930,A
0.200,B,0.930,A
0.400,B,0.930,A
0.600,B,0.930,A
0.800,B,0.930,A
1.000,B,0.930,A
1.200,B,0.930,A
1.400,B,0.930,A
1.600,B,0.930,A
1.800,B,0.930,A
2.000,B,0.930,A
2.200,B,0.930,A
2.400,B,0.930,A
2.600,B,0.930,A
2.800,B,0.930,A
3.000,B,0.930,A
3.200,B,0.930,A
3.400,B,0.930,A
3.600,B,0.930,A
3.800,B,0.930,A
4.000,B,0.930,A
4.200,B,0.930,A
4.400,B,0.930,A
4.600,B,0.930,A
4.800,B,0.930,A
5.000,B,0.930,A
5.200,B,0.930,A
5.400,B,0.930,A
5.600,B,0.930,A
5.800,B,0.930,A
6.000,C,0.930,A
6.200,C,0.930,A
6.400,C,0.930,A
6.600,C,0.930,A
6.800,C,0.930,A
7.000,C,0.930,A
7.200,C,0.930,A
7.400,C,0.930,A
7.600,C,0.930,A
7.800,C,0.930,A
8.000,C,0.930,B
8.200,C,0.930,B
8.400,C,0.930,B
8.600,C,0.930,B
8.800,C,0.930,B
9.000,C,0.930,B
9.200,C,0.930,B
9.400,C,0.930,B
9.600,C,0.930,B
9.800,C,0.930,B
10.000,C,0.930,B
10.200,C,0.930,B
10.400,C,0.930,B
10.600,C,0.930,B
10.800,C,0.930,B
11.000,C,0.930,B
11.200,C,0.930,B
11.400,C,0.930,B
11.600,C,0.930,B
11.800,C,0.930,B
12.000,D,0.930,B
12.200,D,0.930,B
12.400,D,0.930,B
12.600,D,0.930,B
12.800,D,0.930,B
13.000,D,0.930,B
13.200,D,0.930,B
13.400,D,0.930,B
13.600,D,0.930,B
13.800,D,0.930,B
14.000,D,0.930,B
14.200,D,0.930,B
14.400,D,0.930,B
14.600,D,0.930,B
14.800,D,0.930,B
15.000,D,0.930,B
15.200,D,0.930,B
15.400,D,0.930,B
15.600,D,0.930,B
15.800,D,0.930,B
16.000,D,0.930,C
16.200,D,0.930,C
16.400,D,0.930,C
16.600,D,0.930,C
16.800,D,0.930,C
17.000,D,0.930,C
17.200,D,0.930,C
17.400,D,0.930,C
17.600,D,0.930,C
17.800,D,0.930,C
18.000,A,0.930,C
18.200,A,0.930,C
18.400,A,0.930,C
18.600,A,0.930,C
18.800,A,0.930,C
19.000,A,0.930,C
19.200,A,0.930,C
19.400,A,0.930,C
19.600,A,0.930,C
19.800,A,0.930,C
20.000,A,0.930,C
20.200,A,0.930,C
20.400,A,0.930,C
20.600,A,0.930,C
20.800,A,0.930,C
21.000,A,0.930,C
21.200,A,0.930,C
21.400,A,0.930,C
21.600,A,0.930,C
21.800,A,0.930,C
22.000,A,0.930,C
22.200,A,0.930,C
22.400,A,0.930,C
22.600,A,0.930,C
