t,intent_slot,intent_conf,robot_goal_slot
0.000,B,0.950,A
0.200,B,0.950,A
0.400,B,0.950,A
0.600,B,0.950,A
0.800,B,0.950,A
1.000,B,0.950,A
1.200,B,0.950,A
1.400,B,0.950,A
1.600,B,0.950,A
1.800,B,0.950,A
2.000,B,0.950,A
2.200,B,0.950,A
2.400,B,0.950,A
2.600,B,0.950,A
2.800,B,0.950,A
3.000,B,0.950,A
3.200,B,0.950,A
3.400,B,0.950,A
3.600,B,0.950,A
3.800,B,0.950,A
4.000,B,0.950,A
4.200,B,0.950,A
4.400,B,0.950,A
4.600,B,0.950,A
4.800,B,0.950,A
5.000,A,0.900,A
5.200,A,0.900,A
5.400,A,0.900,A
5.600,A,0.900,A
5.800,A,0.900,A
6.000,A,0.900,A
6.200,A,0.900,A
6.400,A,0.900,A
6.600,A,0.900,A
6.800,A,0.900,A
7.000,A,0.900,A
7.200,A,0.900,A
7.400,A,0.900,A
7.600,A,0.900,A
7.800,A,0.900,A
8.000,A,0.900,A
8.200,A,0.900,A
8.400,A,0.900,A
8.600,A,0.900,A
8.800,A,0.900,A
9.000,A,0.900,A
9.200,A,0.900,A
9.400,A,0.900,A
9.600,A,0.900,A
9.800,A,0.900,A
10.000,C,0.950,B
10.200,C,0.950,B
10.400,C,0.950,B
10.600,C,0.950,B
10.800,C,0.950,B
11.000,C,0.950,B
11.200,C,0.950,B
11.400,C,0.950,B
11.600,C,0.950,B
11.800,C,0.950,B
12.000,C,0.950,B
12.200,C,0.950,B
12.400,C,0.950,B
12.600,C,0.950,B
12.800,C,0.950,B
13.000,C,0.950,B
13.200,C,0.950,B
13.400,C,0.950,B
13.600,C,0.950,B
13.800,C,0.950,B
14.000,C,0.950,B
14.200,C,0.950,B
14.400,C,0.950,B
14.600,C,0.950,B
14.800,C,0.950,B
15.000,B,0.900,B
15.200,B,0.900,B
15.400,B,0.900,B
15.600,B,0.900,B
15.800,B,0.900,B
16.000,B,0.900,B
16.200,B,0.900,B
16.400,B,0.900,B
16.600,B,0.900,B
16.800,B,0.900,B
17.000,B,0.900,B
17.200,B,0.900,B
17.400,B,0.900,B
17.600,B,0.900,B
17.800,B,0.900,B
18.000,B,0.900,B
18.200,B,0.900,B
18.400,B,0.900,B
18.600,B,0.900,B
18.800,B,0.900,B
19.000,B,0.900,B
19.200,B,0.900,B
19.400,B,0.900,B
19.600,B,0.900,B
19.800,B,0.900,B
20.000,D,0.950,C
20.200,D,0.950,C
20.400,D,0.950,C
20.600,D,0.950,C
20.800,D,0.950,C
21.000,D,0.950,C
21.200,D,0.950,C
21.400,D,0.950,C
21.600,D,0.950,C
21.800,D,0.950,C
22.000,D,0.950,C
22.200,D,0.950,C
22.400,D,0.950,C
22.600,D,0.950,C
22.800,D,0.950,C
23.000,D,0.950,C
23.200,D,0.950,C
23.400,D,0.950,C
23.600,D,0.950,C
23.800,D,0.950,C
24.000,D,0.950,C
24.200,D,0.950,C
24.400,D,0.950,C
24.600,D,0.950,C
24.800,D,0.950,C
25.000,C,0.900,C
25.200,C,0.900,C
25.400,C,0.900,C
25.600,C,0.900,C
25.800,C,0.900,C
26.000,C,0.900,C
26.200,C,0.900,C
26.400,C,0.900,C
26.600,C,0.900,C
26.800,C,0.900,C
27.000,C,0.900,C
27.200,C,0.900,C
27.400,C,0.900,C
27.600,C,0.900,C
27.800,C,0.900,C
28.000,C,0.900,C
28.200,C,0.900,C
28.400,C,0.900,C
28.600,C,0.900,C
28.800,C,0.900,C
29.000,C,0.900,C
29.200,C,0.900,C
29.400,C,0.900,C
29.600,C,0.900,C
29.800,C,0.900,C
30.000,A,0.950,D
30.200,A,0.950,D
30.400,A,0.950,D
30.600,A,0.950,D
30.800,A,0.950,D
31.000,A,0.950,D
31.200,A,0.950,D
31.400,A,0.950,D
31.600,A,0.950,D
31.800,A,0.950,D
32.000,A,0.950,D
32.200,A,0.950,D
32.400,A,0.950,D
32.600,A,0.950,D
32.800,A,0.950,D
33.000,A,0.950,D
33.200,A,0.950,D
33.400,A,0.950,D
33.600,A,0.950,D
33.800,A,0.950,D
34.000,A,0.950,D
34.200,A,0.950,D
34.400,A,0.950,D
34.600,A,0.950,D
34.800,A,0.950,D
35.000,D,0.900,D
35.200,D,0.900,D
35.400,D,0.900,D
35.600,D,0.900,D
35.800,D,0.900,D
36.000,D,0.900,D
36.200,D,0.900,D
36.400,D,0.900,D
36.600,D,0.900,D
36.800,D,0.900,D
37.000,D,0.900,D
37.200,D,0.900,D
37.400,D,0.900,D
37.600,D,0.900,D
37.800,D,0.900,D
38.000,D,0.900,D
38.200,D,0.900,D
38.400,D,0.900,D
38.600,D,0.900,D
38.800,D,0.900,D
39.000,D,0.900,D
39.200,D,0.900,D
39.400,D,0.900,D
39.600,D,0.900,D
39.800,D,0.900,D
40.000,B,0.950,A
40.200,B,0.950,A
40.400,B,0.950,A
40.600,B,0.950,A
40.800,B,0.950,A
41.000,B,0.950,A
41.200,B,0.950,A
41.400,B,0.950,A
41.600,B,0.950,A
41.800,B,0.950,A
42.000,B,0.950,A
42.200,B,0.950,A
42.400,B,0.950,A
42.600,B,0.950,A
42.800,B,0.950,A
43.000,B,0.950,A
43.200,B,0.950,A
43.400,B,0.950,A
43.600,B,0.950,A
43.800,B,0.950,A
44.000,B,0.950,A
44.200,B,0.950,A
44.400,B,0.950,A
44.600,B,0.950,A
44.800,B,0.950,A
45.000,A,0.900,A
45.200,A,0.900,A
45.400,A,0.900,A
45.600,A,0.900,A
45.800,A,0.900,A
46.000,A,0.900,A
46.200,A,0.900,A
46.400,A,0.900,A
46.600,A,0.900,A
46.800,A,0.900,A
47.000,A,0.900,A
47.200,A,0.900,A
47.400,A,0.900,A
47.600,A,0.900,A
47.800,A,0.900,A
48.000,A,0.900,A
48.200,A,0.900,A
48.400,A,0.900,A
48.600,A,0.900,A
48.800,A,0.900,A
49.000,A,0.900,A
49.200,A,0.900,A
49.400,A,0.900,A
49.600,A,0.900,A
49.800,A,0.900,A
50.000,C,0.950,B
