t,intent_slot,intent_conf,robot_goal_slot
0.000,A,0.920,A
0.200,A,0.920,A
0.400,A,0.920,A
0.600,A,0.920,A
0.800,A,0.920,A
1.000,A,0.920,A
1.200,A,0.920,A
1.400,B,0.800,A
1.600,B,0.800,A
1.800,B,0.800,A
2.000,B,0.800,A
2.200,B,0.800,A
2.400,B,0.800,A
2.600,B,0.800,A
2.800,B,0.800,A
3.000,A,0.920,A
3.200,A,0.920,A
3.400,A,0.920,A
3.600,A,0.920,A
3.800,A,0.920,A
4.000,A,0.920,A
4.200,A,0.920,A
4.400,B,0.800,A
4.600,B,0.800,A
4.800,B,0.800,A
5.000,B,0.800,A
5.200,B,0.800,A
5.400,B,0.800,A
5.600,B,0.800,A
5.800,B,0.800,A
6.000,A,0.920,A
6.200,A,0.920,A
6.400,A,0.920,A
6.600,A,0.920,A
6.800,A,0.920,A
7.000,B,0.920,B
7.200,B,0.920,B
7.400,C,0.800,B
7.600,C,0.800,B
7.800,C,0.800,B
8.000,C,0.800,B
8.200,C,0.800,B
8.400,C,0.800,B
8.600,C,0.800,B
8.800,C,0.800,B
9.000,B,0.920,B
9.200,B,0.920,B
9.400,B,0.920,B
9.600,B,0.920,B
9.800,B,0.920,B
10.000,B,0.920,B
10.200,B,0.920,B
10.400,C,0.800,B
10.600,C,0.800,B
10.800,C,0.800,B
11.000,C,0.800,B
11.200,C,0.800,B
11.400,C,0.800,B
11.600,C,0.800,B
11.800,C,0.800,B
12.000,B,0.920,B
12.200,B,0.920,B
12.400,B,0.920,B
12.600,B,0.920,B
12.800,B,0.920,B
13.000,B,0.920,B
13.200,B,0.920,B
13.400,C,0.800,B
13.600,C,0.800,B
13.800,C,0.800,B
14.000,D,0.800,C
14.200,D,0.800,C
14.400,D,0.800,C
14.600,D,0.800,C
14.800,D,0.800,C
15.000,C,0.920,C
15.200,C,0.920,C
15.400,C,0.920,C
15.600,C,0.920,C
15.800,C,0.920,C
16.000,C,0.920,C
16.200,C,0.920,C
16.400,D,0.800,C
16.600,D,0.800,C
16.800,D,0.800,C
17.000,D,0.800,C
17.200,D,0.800,C
17.400,D,0.800,C
17.600,D,0.800,C
17.800,D,0.800,C
18.000,C,0.920,C
18.200,C,0.920,C
18.400,C,0.920,C
18.600,C,0.920,C
18.800,C,0.920,C
19.000,C,0.920,C
19.200,C,0.920,C
19.400,D,0.800,C
19.600,D,0.800,C
19.800,D,0.800,C
20.000,D,0.800,C
20.200,D,0.800,C
20.400,D,0.800,C
20.600,D,0.800,C
20.800,D,0.800,C
21.000,D,0.920,D
21.200,D,0.920,D
21.400,D,0.920,D
21.600,D,0.920,D
21.800,D,0.920,D
22.000,D,0.920,D
22.200,D,0.920,D
22.400,A,0.800,D
22.600,A,0.800,D
22.800,A,0.800,D
23.000,A,0.800,D
23.200,A,0.800,D
23.400,A,0.800,D
23.600,A,0.800,D
23.800,A,0.800,D
24.000,D,0.920,D
24.200,D,0.920,D
24.400,D,0.920,D
24.600,D,0.920,D
24.800,D,0.920,D
25.000,D,0.920,D
25.200,D,0.920,D
25.400,A,0.800,D
25.600,A,0.800,D
25.800,A,0.800,D
26.000,A,0.800,D
26.200,A,0.800,D
26.400,A,0.800,D
26.600,A,0.800,D
26.800,A,0.800,D
27.000,D,0.920,D
27.200,D,0.920,D
27.400,D,0.920,D
27.600,D,0.920,D
27.800,D,0.920,D
28.000,A,0.920,A
28.200,A,0.920,A
28.400,B,0.800,A
28.600,B,0.800,A
28.800,B,0.800,A
29.000,B,0.800,A
29.200,B,0.800,A
29.400,B,0.800,A
29.600,B,0.800,A
29.800,B,0.800,A
30.000,A,0.920,A
30.200,A,0.920,A
30.400,A,0.920,A
30.600,A,0.920,A
30.800,A,0.920,A
31.000,A,0.920,A
31.200,A,0.920,A
31.400,B,0.800,A
31.600,B,0.800,A
31.800,B,0.800,A
32.000,B,0.800,A
32.200,B,0.800,A
32.400,B,0.800,A
32.600,B,0.800,A
32.800,B,0.800,A
33.000,A,0.920,A
33.200,A,0.920,A
33.400,A,0.920,A
33.600,A,0.920,A
33.800,A,0.920,A
34.000,A,0.920,A
34.200,A,0.920,A
34.400,B,0.800,A
34.600,B,0.800,A
34.800,B,0.800,A
35.000,C,0.800,B
35.200,C,0.800,B
35.400,C,0.800,B
35.600,C,0.800,B
35.800,C,0.800,B
36.000,B,0.920,B
36.200,B,0.920,B
36.400,B,0.920,B
36.600,B,0.920,B
36.800,B,0.920,B
37.000,B,0.920,B
37.200,B,0.920,B
37.400,C,0.800,B
37.600,C,0.800,B
37.800,C,0.800,B
38.000,C,0.800,B
38.200,C,0.800,B
38.400,C,0.800,B
38.600,C,0.800,B
38.800,C,0.800,B
39.000,B,0.920,B
39.200,B,0.920,B
39.400,B,0.920,B
39.600,B,0.920,B
39.800,B,0.920,B
40.000,B,0.920,B
