t,intent_slot,intent_conf,robot_goal_slot
0.000,A,0.880,A
0.200,A,0.880,A
0.400,A,0.880,A
0.600,A,0.880,A
0.800,A,0.880,A
1.000,A,0.880,A
1.200,A,0.880,A
1.400,A,0.880,A
1.600,A,0.880,A
1.800,A,0.880,A
2.000,A,0.880,A
2.200,A,0.880,A
2.400,A,0.880,A
2.600,A,0.880,A
2.800,A,0.880,A
3.000,A,0.880,A
3.200,A,0.880,A
3.400,A,0.880,A
3.600,A,0.880,A
3.800,A,0.880,A
4.000,B,,A
4.200,B,,A
4.400,B,,A
4.600,B,,A
4.800,B,,A
5.000,B,,A
5.200,B,,A
5.400,B,,A
5.600,B,,A
5.800,B,,A
6.000,B,0.880,B
6.200,B,0.880,B
6.400,B,0.880,B
6.600,B,0.880,B
6.800,B,0.880,B
7.000,B,0.880,B
7.200,B,0.880,B
7.400,B,0.880,B
7.600,B,0.880,B
7.800,B,0.880,B
8.000,C,0.880,B
8.200,C,0.880,B
8.400,C,0.880,B
8.600,C,0.880,B
8.800,C,0.880,B
9.000,C,0.880,B
9.200,C,0.880,B
9.400,C,0.880,B
9.600,C,0.880,B
9.800,C,0.880,B
10.000,C,,B
10.200,C,,B
10.400,C,,B
10.600,C,,B
10.800,C,,B
11.000,C,,B
11.200,C,,B
11.400,C,,B
11.600,C,,B
11.800,C,,B
12.000,D,0.880,C
12.200,D,0.880,C
12.400,D,0.880,C
12.600,D,0.880,C
12.800,D,0.880,C
13.000,D,0.880,C
13.200,D,0.880,C
13.400,D,0.880,C
13.600,D,0.880,C
13.800,D,0.880,C
14.000,D,0.880,C
14.200,D,0.880,C
14.400,D,0.880,C
14.600,D,0.880,C
14.800,D,0.880,C
15.000,D,0.880,C
15.200,D,0.880,C
15.400,D,0.880,C
15.600,D,0.880,C
15.800,D,0.880,C
16.000,A,,C
16.200,A,,C
16.400,A,,C
16.600,A,,C
16.800,A,,C
17.000,A,,C
17.200,A,,C
17.400,A,,C
17.600,A,,C
17.800,A,,C
18.000,A,0.880,D
18.200,A,0.880,D
18.400,A,0.880,D
18.600,A,0.880,D
18.800,A,0.880,D
19.000,A,0.880,D
19.200,A,0.880,D
19.400,A,0.880,D
19.600,A,0.880,D
19.800,A,0.880,D
20.000,B,0.880,D
20.200,B,0.880,D
20.400,B,0.880,D
20.600,B,0.880,D
20.800,B,0.880,D
21.000,B,0.880,D
21.200,B,0.880,D
21.400,B,0.880,D
21.600,B,0.880,D
21.800,B,0.880,D
22.000,B,,D
22.200,B,,D
22.400,B,,D
22.600,B,,D
22.800,B,,D
23.000,B,,D
23.200,B,,D
23.400,B,,D
23.600,B,,D
23.800,B,,D
24.000,C,0.880,A
24.200,C,0.880,A
24.400,C,0.880,A
24.600,C,0.880,A
24.800,C,0.880,A
25.000,C,0.880,A
25.200,C,0.880,A
25.400,C,0.880,A
25.600,C,0.880,A
25.800,C,0.880,A
26.000,C,0.880,A
26.200,C,0.880,A
26.400,C,0.880,A
26.600,C,0.880,A
26.800,C,0.880,A
27.000,C,0.880,A
27.200,C,0.880,A
27.400,C,0.880,A
27.600,C,0.880,A
27.800,C,0.880,A
28.000,D,,A
28.200,D,,A
28.400,D,,A
28.600,D,,A
28.800,D,,A
29.000,D,,A
29.200,D,,A
29.400,D,,A
29.600,D,,A
29.800,D,,A
30.000,D,0.880,B
30.200,D,0.880,B
30.400,D,0.880,B
30.600,D,0.880,B
30.800,D,0.880,B
31.000,D,0.880,B
31.200,D,0.880,B
31.400,D,0.880,B
31.600,D,0.880,B
31.800,D,0.880,B
32.000,A,0.880,B
32.200,A,0.880,B
32.400,A,0.880,B
32.600,A,0.880,B
32.800,A,0.880,B
33.000,A,0.880,B
33.200,A,0.880,B
33.400,A,0.880,B
33.600,A,0.880,B
33.800,A,0.880,B
34.000,A,,B
34.200,A,,B
34.400,A,,B
34.600,A,,B
34.800,A,,B
35.000,A,,B
35.200,A,,B
35.400,A,,B
35.600,A,,B
35.800,A,,B
36.000,B,0.880,C
36.200,B,0.880,C
36.400,B,0.880,C
36.600,B,0.880,C
36.800,B,0.880,C
37.000,B,0.880,C
37.200,B,0.880,C
37.400,B,0.880,C
37.600,B,0.880,C
37.800,B,0.880,C
38.000,B,0.880,C
38.200,B,0.880,C
38.400,B,0.880,C
38.600,B,0.880,C
38.800,B,0.880,C
39.000,B,0.880,C
39.200,B,0.880,C
39.400,B,0.880,C
39.600,B,0.880,C
39.800,B,0.880,C
40.000,C,,C
