t,intent_slot,intent_conf,robot_goal_slot
0.000,A,0.800,A
0.200,A,0.803,A
0.400,A,0.806,A
0.600,A,0.809,A
0.800,A,0.812,A
1.000,A,0.815,A
1.200,A,0.818,A
1.400,A,0.821,A
1.600,A,0.824,A
1.800,A,0.827,A
2.000,A,0.830,A
2.200,A,0.833,A
2.400,A,0.836,A
2.600,A,0.839,A
2.800,A,0.841,A
3.000,A,0.844,A
3.200,A,0.847,A
3.400,A,0.850,A
3.600,A,0.853,A
3.800,A,0.856,A
4.000,A,0.858,A
4.200,A,0.861,A
4.400,A,0.864,A
4.600,A,0.867,A
4.800,A,0.869,A
5.000,A,0.872,A
5.200,A,0.875,A
5.400,A,0.877,A
5.600,A,0.880,A
5.800,A,0.882,A
6.000,A,0.885,A
6.200,A,0.887,A
6.400,A,0.890,A
6.600,A,0.892,A
6.800,A,0.894,A
7.000,A,0.897,A
7.200,A,0.899,A
7.400,A,0.901,A
7.600,A,0.903,A
7.800,A,0.905,A
8.000,A,0.908,A
8.200,A,0.910,A
8.400,A,0.912,A
8.600,A,0.914,A
8.800,A,0.916,A
9.000,A,0.917,A
9.200,A,0.919,A
9.400,A,0.921,A
9.600,A,0.923,A
9.800,A,0.925,A
10.000,A,0.926,A
10.200,A,0.928,A
10.400,A,0.929,A
10.600,A,0.931,A
10.800,A,0.932,A
11.000,A,0.934,A
11.200,A,0.935,A
11.400,A,0.936,A
11.600,A,0.938,A
11.800,A,0.939,A
12.000,B,0.940,A
12.200,B,0.941,A
12.400,B,0.942,A
12.600,B,0.943,A
12.800,B,0.944,A
13.000,B,0.945,A
13.200,B,0.945,A
13.400,B,0.946,A
13.600,B,0.947,A
13.800,B,0.947,A
14.000,B,0.948,A
14.200,B,0.948,A
14.400,B,0.949,A
14.600,B,0.949,A
14.800,B,0.949,A
15.000,B,0.950,B
15.200,B,0.950,B
15.400,B,0.950,B
15.600,B,0.950,B
15.800,B,0.950,B
16.000,B,0.950,B
16.200,B,0.950,B
16.400,B,0.950,B
16.600,B,0.949,B
16.800,B,0.949,B
17.000,B,0.949,B
17.200,B,0.948,B
17.400,B,0.948,B
17.600,B,0.947,B
17.800,B,0.947,B
18.000,B,0.946,B
