t,intent_slot,intent_conf,robot_goal_slot
0.000,B,0.850,A
0.200,B,0.850,A
0.400,B,0.850,A
0.600,B,0.850,A
0.800,B,0.850,A
1.000,B,0.850,A
1.200,B,0.850,A
1.400,B,0.850,A
1.600,B,0.850,A
1.800,B,0.850,A
2.000,B,0.850,A
2.200,B,0.850,A
2.400,B,0.850,A
2.600,B,0.850,A
2.800,B,0.850,A
3.000,B,0.850,A
3.200,B,0.850,A
3.400,B,0.850,A
3.600,B,0.850,A
3.800,B,0.850,A
4.000,B,0.850,A
4.200,B,0.850,A
4.400,B,0.850,A
4.600,B,0.850,A
4.800,B,0.850,A
5.000,C,0.850,A
5.200,C,0.850,A
5.400,C,0.850,A
5.600,C,0.850,A
5.800,C,0.850,A
6.000,C,0.850,A
6.200,C,0.850,A
6.400,C,0.850,A
6.600,C,0.850,A
6.800,C,0.850,A
7.000,C,0.850,A
7.200,C,0.850,A
7.400,C,0.850,A
7.600,C,0.850,A
7.800,C,0.850,A
8.000,C,0.850,B
8.200,C,0.850,B
8.400,C,0.850,B
8.600,C,0.850,B
8.800,C,0.850,B
9.000,C,0.850,B
9.200,C,0.850,B
9.400,C,0.850,B
9.600,C,0.850,B
9.800,C,0.850,B
10.000,D,0.850,B
10.200,D,0.850,B
10.400,D,0.850,B
10.600,D,0.850,B
10.800,D,0.850,B
11.000,D,0.850,B
11.200,D,0.850,B
11.400,D,0.850,B
11.600,D,0.850,B
11.800,D,0.850,B
12.000,D,0.850,B
12.200,D,0.850,B
12.400,D,0.850,B
12.600,D,0.850,B
12.800,D,0.850,B
13.000,D,0.850,B
13.200,D,0.850,B
13.400,D,0.850,B
13.600,D,0.850,B
13.800,D,0.850,B
14.000,D,0.850,B
14.200,D,0.850,B
14.400,D,0.850,B
14.600,D,0.850,B
14.800,D,0.850,B
15.000,A,0.850,B
15.200,A,0.850,B
15.400,A,0.850,B
15.600,A,0.850,B
15.800,A,0.850,B
16.000,A,0.850,C
16.200,A,0.850,C
16.400,A,0.850,C
16.600,A,0.850,C
16.800,A,0.850,C
17.000,A,0.850,C
17.200,A,0.850,C
17.400,A,0.850,C
17.600,A,0.850,C
17.800,A,0.850,C
18.000,A,0.850,C
18.200,A,0.850,C
18.400,A,0.850,C
18.600,A,0.850,C
18.800,A,0.850,C
19.000,A,0.850,C
19.200,A,0.850,C
19.400,A,0.850,C
19.600,A,0.850,C
19.800,A,0.850,C
20.000,B,0.850,C
20.200,B,0.850,C
20.400,B,0.850,C
20.600,B,0.850,C
20.800,B,0.850,C
21.000,B,0.850,C
21.200,B,0.850,C
21.400,B,0.850,C
21.600,B,0.850,C
21.800,B,0.850,C
22.000,B,0.850,C
22.200,B,0.850,C
22.400,B,0.850,C
22.600,B,0.850,C
22.800,B,0.850,C
23.000,B,0.850,C
23.200,B,0.850,C
23.400,B,0.850,C
23.600,B,0.850,C
23.800,B,0.850,C
24.000,B,0.850,D
24.200,B,0.850,D
24.400,B,0.850,D
24.600,B,0.850,D
24.800,B,0.850,D
25.000,C,0.850,D
25.200,C,0.850,D
25.400,C,0.850,D
25.600,C,0.850,D
25.800,C,0.850,D
26.000,C,0.850,D
26.200,C,0.850,D
26.400,C,0.850,D
26.600,C,0.850,D
26.800,C,0.850,D
27.000,C,0.850,D
27.200,C,0.850,D
27.400,C,0.850,D
27.600,C,0.850,D
27.800,C,0.850,D
28.000,C,0.850,D
28.200,C,0.850,D
28.400,C,0.850,D
28.600,C,0.850,D
28.800,C,0.850,D
29.000,C,0.850,D
29.200,C,0.850,D
29.400,C,0.850,D
29.600,C,0.850,D
29.800,C,0.850,D
30.000,A,0.850,D
30.200,A,0.850,D
30.400,A,0.850,D
30.600,A,0.850,D
30.800,A,0.850,D
31.000,A,0.850,D
31.200,A,0.850,D
31.400,A,0.850,D
31.600,A,0.850,D
31.800,A,0.850,D
32.000,B,0.850,A
32.200,B,0.850,A
32.400,B,0.850,A
32.600,B,0.850,A
32.800,B,0.850,A
33.000,B,0.850,A
33.200,B,0.850,A
33.400,B,0.850,A
33.600,B,0.850,A
33.800,B,0.850,A
34.000,B,0.850,A
34.200,B,0.850,A
34.400,B,0.850,A
34.600,B,0.850,A
34.800,B,0.850,A
35.000,C,0.850,A
35.200,C,0.850,A
35.400,C,0.850,A
35.600,C,0.850,A
35.800,C,0.850,A
36.000,C,0.850,A
36.200,C,0.850,A
36.400,C,0.850,A
36.600,C,0.850,A
36.800,C,0.850,A
37.000,C,0.850,A
37.200,C,0.850,A
37.400,C,0.850,A
37.600,C,0.850,A
37.800,C,0.850,A
38.000,C,0.850,A
38.200,C,0.850,A
38.400,C,0.850,A
38.600,C,0.850,A
38.800,C,0.850,A
39.000,C,0.850,A
39.200,C,0.850,A
39.400,C,0.850,A
39.600,C,0.850,A
39.800,C,0.850,A
40.000,D,0.850,B
