t,intent_slot,intent_conf,robot_goal_slot
0.000,B,0.900,A
0.200,B,0.900,A
0.400,B,0.900,A
0.600,B,0.900,A
0.800,B,0.900,A
1.000,B,0.900,A
1.200,B,0.900,A
1.400,B,0.900,A
1.600,B,0.900,A
1.800,B,0.900,A
2.000,B,0.900,A
2.200,B,0.900,A
2.400,B,0.900,A
2.600,B,0.900,A
2.800,B,0.900,A
3.000,B,0.900,A
3.200,B,0.900,A
3.400,B,0.900,A
3.600,B,0.900,A
3.800,B,0.900,A
4.000,B,0.900,A
4.200,B,0.900,A
4.400,B,0.900,A
4.600,B,0.900,A
4.800,B,0.900,A
5.000,B,0.900,A
5.200,B,0.900,A
5.400,B,0.900,A
5.600,B,0.900,A
5.800,B,0.900,A
6.000,B,0.900,B
6.200,B,0.900,B
6.400,B,0.900,B
6.600,B,0.900,B
6.800,B,0.900,B
7.000,B,0.900,B
7.200,B,0.900,B
7.400,B,0.900,B
7.600,B,0.900,B
7.800,B,0.900,B
8.000,A,0.920,B
8.200,A,0.920,B
8.400,A,0.920,B
8.600,A,0.920,B
8.800,A,0.920,B
9.000,A,0.920,B
9.200,A,0.920,B
9.400,A,0.920,B
9.600,A,0.920,B
9.800,A,0.920,B
10.000,A,0.920,B
10.200,A,0.920,B
10.400,A,0.920,B
10.600,A,0.920,B
10.800,A,0.920,B
11.000,A,0.920,B
11.200,A,0.920,B
11.400,A,0.920,B
11.600,A,0.920,B
11.800,A,0.920,B
12.000,A,,C
12.200,A,,C
12.400,A,,C
12.600,A,,C
12.800,A,,C
13.000,A,,C
13.200,A,0.920,C
13.400,A,0.920,C
13.600,A,0.920,C
13.800,A,0.920,C
14.000,A,0.920,C
14.200,A,0.920,C
14.400,A,0.920,C
14.600,A,0.920,C
14.800,A,0.920,C
15.000,A,0.920,C
15.200,A,0.920,C
15.400,A,0.920,C
15.600,A,0.920,C
15.800,A,0.920,C
16.000,D,0.750,C
16.200,D,0.750,C
16.400,D,0.750,C
16.600,D,0.750,C
16.800,D,0.750,C
17.000,D,0.750,C
17.200,D,0.750,C
17.400,D,0.750,C
17.600,D,0.750,C
17.800,D,0.750,C
18.000,D,0.750,D
18.200,D,0.750,D
18.400,D,0.750,D
18.600,D,0.750,D
18.800,D,0.750,D
19.000,D,0.750,D
19.200,D,0.750,D
19.400,D,0.750,D
19.600,D,0.750,D
19.800,D,0.750,D
20.000,D,0.750,D
20.200,D,0.750,D
20.400,D,0.750,D
20.600,D,0.750,D
20.800,D,0.750,D
21.000,D,0.750,D
21.200,D,0.750,D
21.400,D,0.750,D
21.600,D,0.750,D
21.800,D,0.750,D
22.000,D,0.750,D
22.200,D,0.750,D
22.400,D,0.750,D
22.600,D,0.750,D
22.800,D,0.750,D
23.000,D,0.750,D
23.200,D,0.750,D
23.400,D,0.750,D
23.600,D,0.750,D
23.800,D,0.750,D
24.000,C,0.880,A
24.200,C,0.880,A
24.400,C,0.880,A
24.600,C,0.880,A
24.800,C,0.880,A
25.000,C,0.880,A
25.200,C,0.880,A
25.400,C,0.880,A
25.600,C,0.880,A
25.800,C,0.880,A
26.000,C,0.880,A
26.200,C,0.880,A
26.400,C,0.880,A
26.600,C,0.880,A
26.800,C,0.880,A
27.000,C,0.880,A
27.200,C,0.880,A
27.400,C,0.880,A
27.600,C,0.880,A
27.800,C,0.880,A
28.000,C,0.880,A
28.200,C,0.880,A
28.400,C,0.880,A
28.600,C,0.880,A
28.800,C,0.880,A
29.000,C,0.880,A
29.200,C,0.880,A
29.400,C,0.880,A
29.600,C,0.880,A
29.800,C,0.880,A
30.000,B,0.950,B
30.200,B,0.950,B
30.400,B,0.950,B
30.600,B,0.950,B
30.800,B,0.950,B
31.000,B,0.950,B
31.200,B,0.950,B
31.400,B,0.950,B
31.600,B,0.950,B
31.800,B,0.950,B
32.000,B,0.950,B
32.200,B,0.950,B
32.400,B,0.950,B
32.600,B,0.950,B
32.800,B,0.950,B
33.000,B,0.950,B
33.200,B,0.950,B
33.400,B,0.950,B
33.600,B,0.950,B
33.800,B,0.950,B
34.000,B,0.950,B
34.200,B,0.950,B
34.400,B,0.950,B
34.600,B,0.950,B
34.800,B,0.950,B
35.000,B,0.950,B
