t,intent_slot,intent_conf,robot_goal_slot
0.000,A,0.940,A
0.200,A,0.940,A
0.400,A,0.940,A
0.600,A,0.940,A
0.800,A,0.940,A
1.000,A,0.940,A
1.200,A,0.940,A
1.400,A,0.940,A
1.600,A,0.940,A
1.800,A,0.940,A
2.000,A,0.920,A
2.200,A,0.920,A
2.400,A,0.920,A
2.600,A,0.920,A
2.800,A,0.920,A
3.000,A,0.920,A
3.200,A,0.920,A
3.400,A,0.920,A
3.600,A,0.920,A
3.800,A,0.920,A
4.000,A,0.920,A
4.200,A,0.920,A
4.400,A,0.920,A
4.600,A,0.920,A
4.800,A,0.920,A
5.000,B,0.880,A
5.200,B,0.880,A
5.400,B,0.880,A
5.600,B,0.880,A
5.800,B,0.880,A
6.000,B,0.880,A
6.200,B,0.880,A
6.400,B,0.880,A
6.600,B,0.880,A
6.800,B,0.880,A
7.000,B,0.880,A
7.200,B,0.880,A
7.400,B,0.880,A
7.600,B,0.880,A
7.800,B,0.880,A
8.000,B,0.940,B
8.200,B,0.940,B
8.400,B,0.940,B
8.600,B,0.940,B
8.800,B,0.940,B
9.000,B,0.940,B
9.200,B,0.940,B
9.400,B,0.940,B
9.600,B,0.940,B
9.800,B,0.940,B
10.000,B,0.920,B
10.200,B,0.920,B
10.400,B,0.920,B
10.600,B,0.920,B
10.800,B,0.920,B
11.000,B,0.920,B
11.200,B,0.920,B
11.400,B,0.920,B
11.600,B,0.920,B
11.800,B,0.920,B
12.000,B,0.920,B
12.200,B,0.920,B
12.400,B,0.920,B
12.600,B,0.920,B
12.800,B,0.920,B
13.000,C,0.880,B
13.200,C,0.880,B
13.400,C,0.880,B
13.600,C,0.880,B
13.800,C,0.880,B
14.000,C,0.880,B
14.200,C,0.880,B
14.400,C,0.880,B
14.600,C,0.880,B
14.800,C,0.880,B
15.000,C,0.880,B
15.200,C,0.880,B
15.400,C,0.880,B
15.600,C,0.880,B
15.800,C,0.880,B
16.000,C,0.940,C
16.200,C,0.940,C
16.400,C,0.940,C
16.600,C,0.940,C
16.800,C,0.940,C
17.000,C,0.940,C
17.200,C,0.940,C
17.400,C,0.940,C
17.600,C,0.940,C
17.800,C,0.940,C
18.000,C,0.920,C
18.200,C,0.920,C
18.400,C,0.920,C
18.600,C,0.920,C
18.800,C,0.920,C
19.000,C,0.920,C
19.200,C,0.920,C
19.400,C,0.920,C
19.600,C,0.920,C
19.800,C,0.920,C
20.000,C,0.920,C
20.200,C,0.920,C
20.400,C,0.920,C
20.600,C,0.920,C
20.800,C,0.920,C
21.000,D,0.880,C
21.200,D,0.880,C
21.400,D,0.880,C
21.600,D,0.880,C
21.800,D,0.880,C
22.000,D,0.880,C
22.200,D,0.880,C
22.400,D,0.880,C
22.600,D,0.880,C
22.800,D,0.880,C
23.000,D,0.880,C
23.200,D,0.880,C
23.400,D,0.880,C
23.600,D,0.880,C
23.800,D,0.880,C
24.000,D,0.940,D
24.200,D,0.940,D
24.400,D,0.940,D
24.600,D,0.940,D
24.800,D,0.940,D
25.000,D,0.940,D
25.200,D,0.940,D
25.400,D,0.940,D
25.600,D,0.940,D
25.800,D,0.940,D
26.000,D,0.920,D
26.200,D,0.920,D
26.400,D,0.920,D
26.600,D,0.920,D
26.800,D,0.920,D
27.000,D,0.920,D
27.200,D,0.920,D
27.400,D,0.920,D
27.600,D,0.920,D
27.800,D,0.920,D
28.000,D,0.920,D
28.200,D,0.920,D
28.400,D,0.920,D
28.600,D,0.920,D
28.800,D,0.920,D
29.000,A,0.880,D
29.200,A,0.880,D
29.400,A,0.880,D
29.600,A,0.880,D
29.800,A,0.880,D
30.000,A,0.880,D
30.200,A,0.880,D
30.400,A,0.880,D
30.600,A,0.880,D
30.800,A,0.880,D
31.000,A,0.880,D
31.200,A,0.880,D
31.400,A,0.880,D
31.600,A,0.880,D
31.800,A,0.880,D
32.000,A,0.940,A
32.200,A,0.940,A
32.400,A,0.940,A
32.600,A,0.940,A
32.800,A,0.940,A
33.000,A,0.940,A
33.200,A,0.940,A
33.400,A,0.940,A
33.600,A,0.940,A
33.800,A,0.940,A
34.000,A,0.920,A
34.200,A,0.920,A
34.400,A,0.920,A
34.600,A,0.920,A
34.800,A,0.920,A
35.000,A,0.920,A
35.200,A,0.920,A
35.400,A,0.920,A
35.600,A,0.920,A
35.800,A,0.920,A
36.000,A,0.920,A
36.200,A,0.920,A
36.400,A,0.920,A
36.600,A,0.920,A
36.800,A,0.920,A
37.000,B,0.880,A
37.200,B,0.880,A
37.400,B,0.880,A
37.600,B,0.880,A
37.800,B,0.880,A
38.000,B,0.880,A
38.200,B,0.880,A
38.400,B,0.880,A
38.600,B,0.880,A
38.800,B,0.880,A
39.000,B,0.880,A
39.200,B,0.880,A
39.400,B,0.880,A
39.600,B,0.880,A
39.800,B,0.880,A
40.000,B,0.940,B
40.200,B,0.940,B
40.400,B,0.940,B
40.600,B,0.940,B
40.800,B,0.940,B
41.000,B,0.940,B
41.200,B,0.940,B
41.400,B,0.940,B
41.600,B,0.940,B
41.800,B,0.940,B
42.000,B,0.920,B
42.200,B,0.920,B
42.400,B,0.920,B
42.600,B,0.920,B
42.800,B,0.920,B
43.000,B,0.920,B
43.200,B,0.920,B
43.400,B,0.920,B
43.600,B,0.920,B
43.800,B,0.920,B
44.000,B,0.920,B
44.200,B,0.920,B
44.400,B,0.920,B
44.600,B,0.920,B
44.800,B,0.920,B
45.000,C,0.880,B
45.200,C,0.880,B
45.400,C,0.880,B
45.600,C,0.880,B
45.800,C,0.880,B
46.000,C,0.880,B
46.200,C,0.880,B
46.400,C,0.880,B
46.600,C,0.880,B
46.800,C,0.880,B
47.000,C,0.880,B
47.200,C,0.880,B
47.400,C,0.880,B
47.600,C,0.880,B
47.800,C,0.880,B
48.000,C,0.940,C
48.200,C,0.940,C
48.400,C,0.940,C
48.600,C,0.940,C
48.800,C,0.940,C
49.000,C,0.940,C
49.200,C,0.940,C
49.400,C,0.940,C
49.600,C,0.940,C
49.800,C,0.940,C
50.000,C,0.920,C
