t,intent_slot,intent_conf,robot_goal_slot
0.000,A,0.850,A
0.200,A,0.850,A
0.400,A,0.850,A
0.600,A,0.850,A
0.800,A,0.850,A
1.000,A,0.850,A
1.200,A,0.850,A
1.400,A,0.850,A
1.600,A,0.850,A
1.800,A,0.850,A
2.000,B,0.850,A
2.200,B,0.850,A
2.400,B,0.850,B
2.600,B,0.850,B
2.800,B,0.850,B
3.000,B,0.850,B
3.200,B,0.850,B
3.400,B,0.850,B
3.600,B,0.850,B
3.800,B,0.850,B
4.000,C,0.850,B
4.200,C,0.850,B
4.400,C,0.850,B
4.600,C,0.850,B
4.800,C,0.850,C
5.000,C,0.850,C
5.200,C,0.850,C
5.400,C,0.850,C
5.600,C,0.850,C
5.800,C,0.850,C
6.000,D,0.850,C
6.200,D,0.850,C
6.400,D,0.850,C
6.600,D,0.850,C
6.800,D,0.850,C
7.000,D,0.850,C
7.200,D,0.850,D
7.400,D,0.850,D
7.600,D,0.850,D
7.800,D,0.850,D
8.000,A,0.850,D
8.200,A,0.850,D
8.400,A,0.850,D
8.600,A,0.850,D
8.800,A,0.850,D
9.000,A,0.850,D
9.200,A,0.850,D
9.400,A,0.850,D
9.600,A,0.850,A
9.800,A,0.850,A
10.000,B,0.850,A
10.200,B,0.850,A
10.400,B,0.850,A
10.600,B,0.850,A
10.800,B,0.850,A
11.000,B,0.850,A
11.200,B,0.850,A
11.400,B,0.850,A
11.600,B,0.850,A
11.800,B,0.850,A
12.000,C,0.850,B
12.200,C,0.850,B
12.400,C,0.850,B
12.600,C,0.850,B
12.800,C,0.850,B
13.000,C,0.850,B
13.200,C,0.850,B
13.400,C,0.850,B
13.600,C,0.850,B
13.800,C,0.850,B
14.000,D,0.850,B
14.200,D,0.850,B
14.400,D,0.850,C
14.600,D,0.850,C
14.800,D,0.850,C
15.000,D,0.850,C
15.200,D,0.850,C
15.400,D,0.850,C
15.600,D,0.850,C
15.800,D,0.850,C
16.000,A,0.850,C
16.200,A,0.850,C
16.400,A,0.850,C
16.600,A,0.850,C
16.800,A,0.850,D
17.000,A,0.850,D
17.200,A,0.850,D
17.400,A,0.850,D
17.600,A,0.850,D
17.800,A,0.850,D
18.000,B,0.850,D
18.200,B,0.850,D
18.400,B,0.850,D
18.600,B,0.850,D
18.800,B,0.850,D
19.000,B,0.850,D
19.200,B,0.850,A
19.400,B,0.850,A
19.600,B,0.850,A
19.800,B,0.850,A
20.000,C,0.850,A
20.200,C,0.850,A
20.400,C,0.850,A
20.600,C,0.850,A
20.800,C,0.850,A
21.000,C,0.850,A
21.200,C,0.850,A
21.400,C,0.850,A
21.600,C,0.850,B
21.800,C,0.850,B
22.000,D,0.850,B
22.200,D,0.850,B
22.400,D,0.850,B
22.600,D,0.850,B
22.800,D,0.850,B
23.000,D,0.850,B
23.200,D,0.850,B
23.400,D,0.850,B
23.600,D,0.850,B
23.800,D,0.850,B
24.000,A,0.850,C
24.200,A,0.850,C
24.400,A,0.850,C
24.600,A,0.850,C
24.800,A,0.850,C
25.000,A,0.850,C
25.200,A,0.850,C
25.400,A,0.850,C
25.600,A,0.850,C
25.800,A,0.850,C
26.000,B,0.850,C
26.200,B,0.850,C
26.400,B,0.850,D
26.600,B,0.850,D
26.800,B,0.850,D
27.000,B,0.850,D
27.200,B,0.850,D
27.400,B,0.850,D
27.600,B,0.850,D
27.800,B,0.850,D
28.000,C,0.850,D
28.200,C,0.850,D
28.400,C,0.850,D
28.600,C,0.850,D
28.800,C,0.850,A
29.000,C,0.850,A
29.200,C,0.850,A
29.400,C,0.850,A
29.600,C,0.850,A
29.800,C,0.850,A
30.000,D,0.850,A
30.200,D,0.850,A
30.400,D,0.850,A
30.600,D,0.850,A
30.800,D,0.850,A
31.000,D,0.850,A
31.200,D,0.850,B
31.400,D,0.850,B
31.600,D,0.850,B
31.800,D,0.850,B
32.000,A,0.850,B
32.200,A,0.850,B
32.400,A,0.850,B
32.600,A,0.850,B
32.800,A,0.850,B
33.000,A,0.850,B
33.200,A,0.850,B
33.400,A,0.850,B
33.600,A,0.850,C
33.800,A,0.850,C
34.000,B,0.850,C
34.200,B,0.850,C
34.400,B,0.850,C
34.600,B,0.850,C
34.800,B,0.850,C
35.000,B,0.850,C
35.200,B,0.850,C
35.400,B,0.850,C
35.600,B,0.850,C
35.800,B,0.850,C
36.000,C,0.850,D
36.200,C,0.850,D
36.400,C,0.850,D
36.600,C,0.850,D
36.800,C,0.850,D
37.000,C,0.850,D
37.200,C,0.850,D
37.400,C,0.850,D
37.600,C,0.850,D
37.800,C,0.850,D
38.000,D,0.850,D
38.200,D,0.850,D
38.400,D,0.850,A
38.600,D,0.850,A
38.800,D,0.850,A
39.000,D,0.850,A
39.200,D,0.850,A
39.400,D,0.850,A
39.600,D,0.850,A
39.800,D,0.850,A
40.000,A,0.850,A
