time,human_status,human_target,human_remaining,human_at_A,human_at_B,human_at_C,human_at_D,robot_status,robot_mode,robot_target,robot_remaining,robot_at_A,robot_at_B,robot_at_C,robot_at_D,prv_mode,delta_t_formal,delta_t_learned,confidence,formal_critical,learned_advisory
0.00,MOVING,A,5.92,False,False,False,False,MOVING,NORMAL,A,5.08,False,False,False,False,NOMINAL,4.42,5.08,0.850,False,False
0.50,MOVING,A,5.42,False,False,False,False,MOVING,NORMAL,A,4.58,False,False,False,False,ADVISORY,3.92,4.58,0.850,False,True
1.00,MOVING,A,4.92,False,False,False,False,MOVING,SLOW,A,4.43,False,False,False,False,NOMINAL,3.42,4.43,0.850,False,False
1.50,MOVING,A,4.42,False,False,False,False,MOVING,SLOW,A,3.93,False,False,False,False,NOMINAL,2.92,3.93,0.850,False,False
2.00,MOVING,A,3.92,False,False,False,False,MOVING,SLOW,A,3.43,False,False,False,False,NOMINAL,2.42,inf,0.050,False,False
2.50,MOVING,A,3.42,False,False,False,False,MOVING,SLOW,A,2.93,False,False,False,False,NOMINAL,1.92,2.93,0.850,False,False
3.00,MOVING,A,2.92,False,False,False,False,MOVING,SLOW,A,2.43,False,False,False,False,CRITICAL,1.42,2.43,0.850,True,False
3.50,MOVING,A,2.42,False,False,False,False,MOVING,SLOW,A,2.43,False,False,False,False,CRITICAL,0.92,2.42,0.850,True,False
4.00,MOVING,A,1.92,False,False,False,False,MOVING,SLOW,A,2.43,False,False,False,False,CRITICAL,0.42,1.92,0.850,True,False
4.50,MOVING,A,1.42,False,False,False,False,MOVING,SLOW,A,2.43,False,False,False,False,CRITICAL,0.00,1.42,0.850,True,False
5.00,MOVING,A,0.92,False,False,False,False,MOVING,SLOW,A,2.43,False,False,False,False,CRITICAL,0.00,0.92,0.850,True,False
5.50,MOVING,A,0.42,False,False,False,False,MOVING,SLOW,A,2.43,False,False,False,False,CRITICAL,0.42,0.42,0.850,True,False
6.00,EXITING,A,1.70,True,False,False,False,STOPPED,SLOW,A,2.43,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
6.50,EXITING,A,1.20,True,False,False,False,STOPPED,SLOW,A,2.43,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
7.00,EXITING,A,0.70,True,False,False,False,STOPPED,SLOW,A,2.43,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
7.50,EXITING,A,0.20,True,False,False,False,STOPPED,SLOW,A,2.43,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
8.00,IDLE,,-0.30,False,False,False,False,MOVING,SLOW,A,2.43,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
8.50,MOVING,B,5.02,False,False,False,False,MOVING,NORMAL,A,0.47,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
9.00,MOVING,B,4.52,False,False,False,False,EXITING,NORMAL,A,1.96,True,False,False,False,NOMINAL,inf,inf,0.850,False,False
9.50,MOVING,B,4.02,False,False,False,False,EXITING,NORMAL,A,1.46,True,False,False,False,NOMINAL,inf,inf,0.850,False,False
10.00,MOVING,B,3.52,False,False,False,False,EXITING,NORMAL,A,0.96,True,False,False,False,NOMINAL,inf,inf,0.850,False,False
10.50,MOVING,B,3.02,False,False,False,False,EXITING,NORMAL,A,0.46,True,False,False,False,NOMINAL,inf,inf,0.850,False,False
11.00,MOVING,B,2.52,False,False,False,False,IDLE,NORMAL,,-0.04,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
11.50,MOVING,B,2.02,False,False,False,False,MOVING,NORMAL,B,7.42,False,False,False,False,ADVISORY,inf,2.02,0.850,False,True
12.00,MOVING,B,1.52,False,False,False,False,MOVING,SLOW,B,7.49,False,False,False,False,NOMINAL,inf,1.52,0.850,False,False
12.50,MOVING,B,1.02,False,False,False,False,MOVING,SLOW,B,6.99,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
