time,human_status,human_target,human_remaining,human_at_A,human_at_B,human_at_C,human_at_D,robot_status,robot_mode,robot_target,robot_remaining,robot_at_A,robot_at_B,robot_at_C,robot_at_D,prv_mode,delta_t_formal,delta_t_learned,confidence,formal_critical,learned_advisory,human_goal_idx,robot_goal_idx,event
0.00,MOVING,A,5.00,False,False,False,False,MOVING,NORMAL,A,6.00,False,False,False,False,ADVISORY,5.00,5.00,0.85,False,True,0,0,both_start_same_target
0.50,MOVING,A,4.50,False,False,False,False,MOVING,SLOW,A,5.94,False,False,False,False,ADVISORY,4.50,4.50,0.85,False,True,0,0,robot_slowing
1.00,MOVING,A,4.00,False,False,False,False,MOVING,SLOW,A,5.44,False,False,False,False,ADVISORY,4.00,4.00,0.85,False,True,0,0,
1.50,MOVING,A,3.50,False,False,False,False,MOVING,SLOW,A,4.94,False,False,False,False,ADVISORY,3.50,3.50,0.85,False,True,0,0,
2.00,MOVING,A,3.00,False,False,False,False,MOVING,SLOW,A,4.44,False,False,False,False,ADVISORY,3.00,3.00,0.85,False,True,0,0,
2.50,MOVING,A,2.50,False,False,False,False,MOVING,SLOW,A,3.94,False,False,False,False,ADVISORY,2.50,2.50,0.85,False,True,0,0,
3.00,MOVING,A,2.00,False,False,False,False,MOVING,SLOW,A,3.44,False,False,False,False,CRITICAL,2.00,2.00,0.85,True,False,0,0,imminent_conflict
3.50,MOVING,A,1.50,False,False,False,False,STOPPED,SLOW,A,3.44,False,False,False,False,CRITICAL,1.50,1.50,0.85,True,False,0,0,robot_stopped
4.00,MOVING,A,1.00,False,False,False,False,STOPPED,SLOW,A,3.44,False,False,False,False,CRITICAL,1.00,1.00,0.85,True,False,0,0,
4.50,MOVING,A,0.50,False,False,False,False,STOPPED,SLOW,A,3.44,False,False,False,False,CRITICAL,0.50,0.50,0.85,True,False,0,0,
5.00,EXITING,A,1.50,True,False,False,False,STOPPED,SLOW,A,3.44,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,0,0,human_places_box_A
5.50,EXITING,A,1.00,True,False,False,False,STOPPED,SLOW,A,3.44,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,0,0,
6.00,EXITING,A,0.50,True,False,False,False,STOPPED,SLOW,A,3.44,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,0,0,
6.50,IDLE,B,0.00,False,False,False,False,MOVING,NORMAL,A,1.38,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,1,0,human_goal_complete_robot_resumes
7.00,MOVING,B,5.50,False,False,False,False,MOVING,NORMAL,A,0.88,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,1,0,
7.50,MOVING,B,5.00,False,False,False,False,EXITING,NORMAL,A,1.20,True,False,False,False,NOMINAL,inf,inf,0.85,False,False,1,0,robot_places_box_A
8.00,MOVING,B,4.50,False,False,False,False,EXITING,NORMAL,A,0.70,True,False,False,False,NOMINAL,inf,inf,0.85,False,False,1,0,
8.50,MOVING,B,4.00,False,False,False,False,EXITING,NORMAL,A,0.20,True,False,False,False,NOMINAL,inf,inf,0.85,False,False,1,0,
9.00,MOVING,B,3.50,False,False,False,False,IDLE,NORMAL,B,0.00,False,False,False,False,ADVISORY,3.50,3.50,0.85,False,True,1,1,robot_goal_complete_new_conflict
9.50,MOVING,B,3.00,False,False,False,False,MOVING,SLOW,B,6.50,False,False,False,False,ADVISORY,3.00,3.00,0.85,False,True,1,1,both_heading_to_B
10.00,MOVING,B,2.50,False,False,False,False,MOVING,SLOW,B,6.00,False,False,False,False,ADVISORY,2.50,2.50,0.85,False,True,1,1,
10.50,MOVING,B,2.00,False,False,False,False,MOVING,SLOW,B,5.50,False,False,False,False,CRITICAL,2.00,2.00,0.85,True,False,1,1,
11.00,MOVING,B,1.50,False,False,False,False,STOPPED,SLOW,B,5.50,False,False,False,False,CRITICAL,1.50,1.50,0.85,True,False,1,1,
11.50,MOVING,B,1.00,False,False,False,False,STOPPED,SLOW,B,5.50,False,False,False,False,CRITICAL,1.00,1.00,0.85,True,False,1,1,
12.00,MOVING,B,0.50,False,False,False,False,STOPPED,SLOW,B,5.50,False,False,False,False,CRITICAL,0.50,0.50,0.85,True,False,1,1,
12.50,EXITING,B,1.80,False,True,False,False,STOPPED,SLOW,B,5.50,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,1,1,human_places_box_B
13.00,EXITING,B,1.30,False,True,False,False,STOPPED,SLOW,B,5.50,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,1,1,
13.50,EXITING,B,0.80,False,True,False,False,STOPPED,SLOW,B,5.50,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,1,1,
14.00,EXITING,B,0.30,False,True,False,False,STOPPED,SLOW,B,5.50,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,1,1,
14.50,IDLE,C,0.00,False,False,False,False,MOVING,NORMAL,B,2.20,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,2,1,human_goal_complete
15.00,MOVING,C,4.80,False,False,False,False,MOVING,NORMAL,B,1.70,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,2,1,
15.50,MOVING,C,4.30,False,False,False,False,MOVING,NORMAL,B,1.20,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,2,1,
16.00,MOVING,C,3.80,False,False,False,False,MOVING,NORMAL,B,0.70,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,2,1,
16.50,MOVING,C,3.30,False,False,False,False,MOVING,NORMAL,B,0.20,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,2,1,
17.00,MOVING,C,2.80,False,False,False,False,EXITING,NORMAL,B,1.50,False,True,False,False,NOMINAL,inf,inf,0.85,False,False,2,1,robot_places_box_B
17.50,MOVING,C,2.30,False,False,False,False,EXITING,NORMAL,B,1.00,False,True,False,False,NOMINAL,inf,inf,0.85,False,False,2,1,
18.00,MOVING,C,1.80,False,False,False,False,EXITING,NORMAL,B,0.50,False,True,False,False,NOMINAL,inf,inf,0.85,False,False,2,1,
18.50,MOVING,C,1.30,False,False,False,False,IDLE,NORMAL,C,0.00,False,False,False,False,ADVISORY,1.30,1.30,0.85,False,True,2,2,robot_goal_complete_new_conflict
19.00,MOVING,C,0.80,False,False,False,False,MOVING,SLOW,C,7.00,False,False,False,False,CRITICAL,0.80,0.80,0.85,True,False,2,2,both_heading_to_C
19.50,MOVING,C,0.30,False,False,False,False,STOPPED,SLOW,C,7.00,False,False,False,False,CRITICAL,0.30,0.30,0.85,True,False,2,2,
20.00,EXITING,C,1.60,False,False,True,False,STOPPED,SLOW,C,7.00,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,2,2,human_places_box_C
20.50,EXITING,C,1.10,False,False,True,False,STOPPED,SLOW,C,7.00,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,2,2,
21.00,EXITING,C,0.60,False,False,True,False,STOPPED,SLOW,C,7.00,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,2,2,
21.50,EXITING,C,0.10,False,False,True,False,STOPPED,SLOW,C,7.00,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,2,2,
22.00,IDLE,D,0.00,False,False,False,False,MOVING,NORMAL,C,2.80,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,3,2,human_goal_complete
22.50,MOVING,D,6.00,False,False,False,False,MOVING,NORMAL,C,2.30,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,3,2,
23.00,MOVING,D,5.50,False,False,False,False,MOVING,NORMAL,C,1.80,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,3,2,
23.50,MOVING,D,5.00,False,False,False,False,MOVING,NORMAL,C,1.30,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,3,2,
24.00,MOVING,D,4.50,False,False,False,False,MOVING,NORMAL,C,0.80,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,3,2,
24.50,MOVING,D,4.00,False,False,False,False,MOVING,NORMAL,C,0.30,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,3,2,
25.00,MOVING,D,3.50,False,False,False,False,EXITING,NORMAL,C,1.40,False,False,True,False,NOMINAL,inf,inf,0.85,False,False,3,2,robot_places_box_C
25.50,MOVING,D,3.00,False,False,False,False,EXITING,NORMAL,C,0.90,False,False,True,False,NOMINAL,inf,inf,0.85,False,False,3,2,
26.00,MOVING,D,2.50,False,False,False,False,EXITING,NORMAL,C,0.40,False,False,True,False,NOMINAL,inf,inf,0.85,False,False,3,2,
26.50,MOVING,D,2.00,False,False,False,False,IDLE,NORMAL,D,0.00,False,False,False,False,ADVISORY,2.00,2.00,0.85,False,True,3,3,robot_goal_complete_new_conflict
27.00,MOVING,D,1.50,False,False,False,False,MOVING,SLOW,D,7.50,False,False,False,False,CRITICAL,1.50,1.50,0.85,True,False,3,3,both_heading_to_D
27.50,MOVING,D,1.00,False,False,False,False,STOPPED,SLOW,D,7.50,False,False,False,False,CRITICAL,1.00,1.00,0.85,True,False,3,3,
28.00,MOVING,D,0.50,False,False,False,False,STOPPED,SLOW,D,7.50,False,False,False,False,CRITICAL,0.50,0.50,0.85,True,False,3,3,
28.50,EXITING,D,1.70,False,False,False,True,STOPPED,SLOW,D,7.50,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,3,3,human_places_box_D
29.00,EXITING,D,1.20,False,False,False,True,STOPPED,SLOW,D,7.50,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,3,3,
29.50,EXITING,D,0.70,False,False,False,True,STOPPED,SLOW,D,7.50,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,3,3,
30.00,EXITING,D,0.20,False,False,False,True,STOPPED,SLOW,D,7.50,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,3,3,
30.50,IDLE,A,0.00,False,False,False,False,MOVING,NORMAL,D,3.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,4,3,human_complete_cycle1
31.00,MOVING,A,5.20,False,False,False,False,MOVING,NORMAL,D,2.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,4,3,
31.50,MOVING,A,4.70,False,False,False,False,MOVING,NORMAL,D,2.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,4,3,
32.00,MOVING,A,4.20,False,False,False,False,MOVING,NORMAL,D,1.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,4,3,
32.50,MOVING,A,3.70,False,False,False,False,MOVING,NORMAL,D,1.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,4,3,
33.00,MOVING,A,3.20,False,False,False,False,MOVING,NORMAL,D,0.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,4,3,
33.50,MOVING,A,2.70,False,False,False,False,EXITING,NORMAL,D,1.30,False,False,False,True,NOMINAL,inf,inf,0.85,False,False,4,3,robot_places_box_D
34.00,MOVING,A,2.20,False,False,False,False,EXITING,NORMAL,D,0.80,False,False,False,True,NOMINAL,inf,inf,0.85,False,False,4,3,
34.50,MOVING,A,1.70,False,False,False,False,EXITING,NORMAL,D,0.30,False,False,False,True,NOMINAL,inf,inf,0.85,False,False,4,3,
35.00,MOVING,A,1.20,False,False,False,False,IDLE,NORMAL,A,0.00,False,False,False,False,ADVISORY,1.20,1.20,0.85,False,True,4,4,robot_complete_cycle1_conflict
35.50,MOVING,A,0.70,False,False,False,False,MOVING,SLOW,A,7.00,False,False,False,False,CRITICAL,0.70,0.70,0.85,True,False,4,4,
36.00,MOVING,A,0.20,False,False,False,False,STOPPED,SLOW,A,7.00,False,False,False,False,CRITICAL,0.20,0.20,0.85,True,False,4,4,
36.50,EXITING,A,1.50,True,False,False,False,STOPPED,SLOW,A,7.00,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,4,4,human_places_box_A_cycle2
37.00,EXITING,A,1.00,True,False,False,False,STOPPED,SLOW,A,7.00,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,4,4,
37.50,EXITING,A,0.50,True,False,False,False,STOPPED,SLOW,A,7.00,False,False,False,False,CRITICAL,0.00,0.00,0.85,True,False,4,4,
38.00,IDLE,,0.00,False,False,False,False,MOVING,NORMAL,A,2.80,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,5,4,human_goals_complete
38.50,IDLE,,0.00,False,False,False,False,MOVING,NORMAL,A,2.30,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,5,4,
39.00,IDLE,,0.00,False,False,False,False,MOVING,NORMAL,A,1.80,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,5,4,
39.50,IDLE,,0.00,False,False,False,False,MOVING,NORMAL,A,1.30,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,5,4,
40.00,IDLE,,0.00,False,False,False,False,MOVING,NORMAL,A,0.80,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,5,4,
