time,human_status,human_target,human_remaining,human_at_A,human_at_B,human_at_C,human_at_D,robot_status,robot_mode,robot_target,robot_remaining,robot_at_A,robot_at_B,robot_at_C,robot_at_D,prv_mode,delta_t_formal,delta_t_learned,confidence,formal_critical,learned_advisory,human_goal_idx,robot_goal_idx,event
0.00,MOVING,A,5.50,False,False,False,False,MOVING,NORMAL,C,6.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,start_different_targets
0.50,MOVING,A,5.00,False,False,False,False,MOVING,NORMAL,C,5.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
1.00,MOVING,A,4.50,False,False,False,False,MOVING,NORMAL,C,5.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
1.50,MOVING,A,4.00,False,False,False,False,MOVING,NORMAL,C,4.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
2.00,MOVING,A,3.50,False,False,False,False,MOVING,NORMAL,C,4.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
2.50,MOVING,A,3.00,False,False,False,False,MOVING,NORMAL,C,3.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
3.00,MOVING,A,2.50,False,False,False,False,MOVING,NORMAL,C,3.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
3.50,MOVING,A,2.00,False,False,False,False,MOVING,NORMAL,C,2.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
4.00,MOVING,A,1.50,False,False,False,False,MOVING,NORMAL,C,2.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
4.50,MOVING,A,1.00,False,False,False,False,MOVING,NORMAL,C,1.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
5.00,MOVING,A,0.50,False,False,False,False,MOVING,NORMAL,C,1.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,
5.50,EXITING,A,1.60,True,False,False,False,MOVING,NORMAL,C,0.50,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,0,0,human_places_box_A
6.00,EXITING,A,1.10,True,False,False,False,EXITING,NORMAL,C,1.40,False,False,True,False,NOMINAL,inf,inf,0.85,False,False,0,0,robot_places_box_C
6.50,EXITING,A,0.60,True,False,False,False,EXITING,NORMAL,C,0.90,False,False,True,False,NOMINAL,inf,inf,0.85,False,False,0,0,
7.00,EXITING,A,0.10,True,False,False,False,EXITING,NORMAL,C,0.40,False,False,True,False,NOMINAL,inf,inf,0.85,False,False,0,0,
7.50,IDLE,B,0.00,False,False,False,False,IDLE,NORMAL,D,0.00,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,1,1,both_goals_complete
8.00,MOVING,B,6.20,False,False,False,False,MOVING,NORMAL,D,5.80,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,1,1,different_targets_again
8.50,MOVING,B,5.70,False,False,False,False,MOVING,NORMAL,D,5.30,False,False,False,False,NOMINAL,inf,inf,0.85,False,False,1,1,
