time,human_status,human_target,human_remaining,human_at_A,human_at_B,human_at_C,human_at_D,robot_status,robot_mode,robot_target,robot_remaining,robot_at_A,robot_at_B,robot_at_C,robot_at_D,prv_mode,delta_t_formal,delta_t_learned,confidence,formal_critical,learned_advisory
0.00,MOVING,A,5.92,False,False,False,False,MOVING,NORMAL,B,5.08,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
0.50,MOVING,A,5.42,False,False,False,False,MOVING,NORMAL,B,4.58,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
1.00,MOVING,A,4.92,False,False,False,False,MOVING,NORMAL,B,4.08,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
1.50,MOVING,A,4.42,False,False,False,False,MOVING,NORMAL,B,3.58,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
2.00,MOVING,A,3.92,False,False,False,False,MOVING,NORMAL,B,3.08,False,False,False,False,NOMINAL,inf,3.08,0.050,False,False
2.50,MOVING,A,3.42,False,False,False,False,MOVING,NORMAL,B,2.58,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
3.00,MOVING,A,2.92,False,False,False,False,MOVING,NORMAL,B,2.08,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
3.50,MOVING,A,2.42,False,False,False,False,MOVING,NORMAL,B,1.58,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
4.00,MOVING,A,1.92,False,False,False,False,MOVING,NORMAL,B,1.08,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
4.50,MOVING,A,1.42,False,False,False,False,MOVING,NORMAL,B,0.58,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
5.00,MOVING,A,0.92,False,False,False,False,MOVING,NORMAL,B,0.08,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
5.50,MOVING,A,0.42,False,False,False,False,EXITING,NORMAL,B,1.72,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
6.00,EXITING,A,1.42,True,False,False,False,EXITING,NORMAL,B,1.22,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
6.50,EXITING,A,0.92,True,False,False,False,EXITING,NORMAL,B,0.72,False,True,False,False,NOMINAL,inf,inf,0.850,False,False
7.00,EXITING,A,0.42,True,False,False,False,EXITING,NORMAL,B,0.22,False,True,False,False,NOMINAL,inf,0.00,0.050,False,False
7.50,IDLE,,-0.08,False,False,False,False,IDLE,NORMAL,,-0.28,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
8.00,MOVING,B,5.02,False,False,False,False,MOVING,NORMAL,C,5.47,False,False,False,False,NOMINAL,inf,5.02,0.050,False,False
8.50,MOVING,B,4.52,False,False,False,False,MOVING,NORMAL,C,4.97,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
9.00,MOVING,B,4.02,False,False,False,False,MOVING,NORMAL,C,4.47,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
9.50,MOVING,B,3.52,False,False,False,False,MOVING,NORMAL,C,3.97,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
10.00,MOVING,B,3.02,False,False,False,False,MOVING,NORMAL,C,3.47,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
10.50,MOVING,B,2.52,False,False,False,False,MOVING,NORMAL,C,2.97,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
11.00,MOVING,B,2.02,False,False,False,False,MOVING,NORMAL,C,2.47,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
11.50,MOVING,B,1.52,False,False,False,False,MOVING,NORMAL,C,1.97,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
12.00,MOVING,B,1.02,False,False,False,False,MOVING,NORMAL,C,1.47,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
12.50,MOVING,B,0.52,False,False,False,False,MOVING,NORMAL,C,0.97,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
13.00,MOVING,B,0.02,False,False,False,False,MOVING,NORMAL,C,0.47,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
13.50,EXITING,B,1.83,False,True,False,False,EXITING,NORMAL,C,1.62,False,False,True,False,NOMINAL,inf,inf,0.050,False,False
14.00,EXITING,B,1.33,False,True,False,False,EXITING,NORMAL,C,1.12,False,False,True,False,NOMINAL,inf,inf,0.850,False,False
