time,human_status,human_target,human_remaining,human_at_A,human_at_B,human_at_C,human_at_D,robot_status,robot_mode,robot_target,robot_remaining,robot_at_A,robot_at_B,robot_at_C,robot_at_D,prv_mode,delta_t_formal,delta_t_learned,confidence,formal_critical,learned_advisory
0.00,MOVING,C,5.77,False,False,False,False,MOVING,NORMAL,C,5.10,False,False,False,False,NOMINAL,4.27,5.10,0.850,False,False
0.50,MOVING,C,5.27,False,False,False,False,MOVING,NORMAL,C,4.60,False,False,False,False,ADVISORY,3.77,4.60,0.850,False,True
1.00,MOVING,C,4.77,False,False,False,False,MOVING,SLOW,C,4.45,False,False,False,False,NOMINAL,3.27,4.45,0.850,False,False
1.50,MOVING,C,4.27,False,False,False,False,MOVING,SLOW,C,3.95,False,False,False,False,NOMINAL,2.77,3.95,0.850,False,False
2.00,MOVING,C,3.77,False,False,False,False,MOVING,SLOW,C,3.45,False,False,False,False,NOMINAL,2.27,3.45,0.850,False,False
2.50,MOVING,C,3.27,False,False,False,False,MOVING,SLOW,C,2.95,False,False,False,False,NOMINAL,1.77,2.95,0.850,False,False
3.00,MOVING,C,2.77,False,False,False,False,MOVING,SLOW,C,2.45,False,False,False,False,CRITICAL,1.27,2.45,0.850,True,False
3.50,MOVING,C,2.27,False,False,False,False,MOVING,SLOW,C,2.45,False,False,False,False,CRITICAL,0.77,2.27,0.850,True,False
4.00,MOVING,C,1.77,False,False,False,False,MOVING,SLOW,C,2.45,False,False,False,False,CRITICAL,0.27,1.77,0.850,True,False
4.50,MOVING,C,1.27,False,False,False,False,MOVING,SLOW,C,2.45,False,False,False,False,CRITICAL,0.00,inf,0.050,True,False
5.00,MOVING,C,0.77,False,False,False,False,MOVING,SLOW,C,2.45,False,False,False,False,CRITICAL,0.00,0.77,0.850,True,False
5.50,MOVING,C,0.27,False,False,False,False,MOVING,SLOW,C,2.45,False,False,False,False,CRITICAL,0.27,0.27,0.850,True,False
6.00,EXITING,C,1.16,False,False,True,False,STOPPED,SLOW,C,2.45,False,False,False,False,NOMINAL,inf,inf,0.050,False,False
6.50,EXITING,C,0.66,False,False,True,False,STOPPED,SLOW,C,2.45,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
7.00,EXITING,C,0.16,False,False,True,False,STOPPED,SLOW,C,2.45,False,False,False,False,NOMINAL,inf,0.00,0.850,False,False
7.50,IDLE,,-0.34,False,False,False,False,MOVING,SLOW,C,2.45,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
8.00,MOVING,B,5.03,False,False,False,False,MOVING,NORMAL,C,0.48,False,False,False,False,NOMINAL,inf,inf,0.850,False,False
8.50,MOVING,B,4.53,False,False,False,False,EXITING,NORMAL,C,1.04,False,False,True,False,NOMINAL,inf,inf,0.850,False,False
9.00,MOVING,B,4.03,False,False,False,False,EXITING,NORMAL,C,0.54,False,False,True,False,NOMINAL,inf,inf,0.850,False,False
9.50,MOVING,B,3.53,False,False,False,False,EXITING,NORMAL,C,0.04,False,False,True,False,NOMINAL,inf,inf,0.050,False,False
