t,intent_slot,intent_conf,robot_goal_slot
0.000,A,0.950,A
0.200,A,0.950,A
0.400,A,0.950,A
0.600,A,0.950,A
0.800,A,0.950,A
1.000,A,0.950,A
1.200,A,0.950,A
1.400,A,0.950,A
1.600,A,0.950,A
1.800,A,0.950,A
2.000,A,0.950,A
2.200,A,0.950,A
2.400,A,0.950,A
2.600,A,0.950,A
2.800,A,0.950,A
3.000,A,0.850,A
3.200,A,0.850,A
3.400,A,0.850,A
3.600,A,0.850,A
3.800,A,0.850,A
4.000,A,0.850,A
4.200,A,0.850,A
4.400,A,0.850,A
4.600,A,0.850,A
4.800,A,0.850,A
5.000,B,0.850,A
5.200,B,0.850,A
5.400,B,0.850,A
5.600,B,0.850,A
5.800,B,0.850,A
6.000,B,0.750,A
6.200,B,0.750,A
6.400,B,0.750,A
6.600,B,0.750,A
6.800,B,0.750,A
7.000,B,0.750,B
7.200,B,0.750,B
7.400,B,0.750,B
7.600,B,0.750,B
7.800,B,0.750,B
8.000,B,0.750,B
8.200,B,0.750,B
8.400,B,0.750,B
8.600,B,0.750,B
8.800,B,0.750,B
9.000,B,,B
9.200,B,,B
9.400,B,,B
9.600,B,,B
9.800,B,,B
10.000,C,,B
10.200,C,,B
10.400,C,,B
10.600,C,,B
10.800,C,,B
11.000,C,,B
11.200,C,,B
11.400,C,,B
11.600,C,,B
11.800,C,,B
12.000,C,0.950,B
12.200,C,0.950,B
12.400,C,0.950,B
12.600,C,0.950,B
12.800,C,0.950,B
13.000,C,0.950,B
13.200,C,0.950,B
13.400,C,0.950,B
13.600,C,0.950,B
13.800,C,0.950,B
14.000,C,0.950,C
14.200,C,0.950,C
14.400,C,0.950,C
14.600,C,0.950,C
14.800,C,0.950,C
15.000,D,0.850,C
15.200,D,0.850,C
15.400,D,0.850,C
15.600,D,0.850,C
15.800,D,0.850,C
16.000,D,0.850,C
16.200,D,0.850,C
16.400,D,0.850,C
16.600,D,0.850,C
16.800,D,0.850,C
17.000,D,0.850,C
17.200,D,0.850,C
17.400,D,0.850,C
17.600,D,0.850,C
17.800,D,0.850,C
18.000,D,0.750,C
18.200,D,0.750,C
18.400,D,0.750,C
18.600,D,0.750,C
18.800,D,0.750,C
19.000,D,0.750,C
19.200,D,0.750,C
19.400,D,0.750,C
19.600,D,0.750,C
19.800,D,0.750,C
20.000,A,0.750,C
20.200,A,0.750,C
20.400,A,0.750,C
20.600,A,0.750,C
20.800,A,0.750,C
21.000,A,,D
21.200,A,,D
21.400,A,,D
21.600,A,,D
21.800,A,,D
22.000,A,,D
22.200,A,,D
22.400,A,,D
22.600,A,,D
22.800,A,,D
23.000,A,,D
23.200,A,,D
23.400,A,,D
23.600,A,,D
23.800,A,,D
24.000,A,0.950,D
24.200,A,0.950,D
24.400,A,0.950,D
24.600,A,0.950,D
24.800,A,0.950,D
25.000,B,0.950,D
25.200,B,0.950,D
25.400,B,0.950,D
25.600,B,0.950,D
25.800,B,0.950,D
26.000,B,0.950,D
26.200,B,0.950,D
26.400,B,0.950,D
26.600,B,0.950,D
26.800,B,0.950,D
27.000,B,0.850,D
27.200,B,0.850,D
27.400,B,0.850,D
27.600,B,0.850,D
27.800,B,0.850,D
28.000,B,0.850,A
28.200,B,0.850,A
28.400,B,0.850,A
28.600,B,0.850,A
28.800,B,0.850,A
29.000,B,0.850,A
29.200,B,0.850,A
29.400,B,0.850,A
29.600,B,0.850,A
29.800,B,0.850,A
30.000,C,0.750,A
30.200,C,0.750,A
30.400,C,0.750,A
30.600,C,0.750,A
30.800,C,0.750,A
31.000,C,0.750,A
31.200,C,0.750,A
31.400,C,0.750,A
31.600,C,0.750,A
31.800,C,0.750,A
32.000,C,0.750,A
32.200,C,0.750,A
32.400,C,0.750,A
32.600,C,0.750,A
32.800,C,0.750,A
33.000,C,,A
33.200,C,,A
33.400,C,,A
33.600,C,,A
33.800,C,,A
34.000,C,,A
34.200,C,,A
34.400,C,,A
34.600,C,,A
34.800,C,,A
35.000,D,,B
35.200,D,,B
35.400,D,,B
35.600,D,,B
35.800,D,,B
36.000,D,0.950,B
36.200,D,0.950,B
36.400,D,0.950,B
36.600,D,0.950,B
36.800,D,0.950,B
37.000,D,0.950,B
37.200,D,0.950,B
37.400,D,0.950,B
37.600,D,0.950,B
37.800,D,0.950,B
38.000,D,0.950,B
38.200,D,0.950,B
38.400,D,0.950,B
38.600,D,0.950,B
38.800,D,0.950,B
39.000,D,0.850,B
39.200,D,0.850,B
39.400,D,0.850,B
39.600,D,0.850,B
39.800,D,0.850,B
40.000,A,0.850,B
40.200,A,0.850,B
40.400,A,0.850,B
40.600,A,0.850,B
40.800,A,0.850,B
41.000,A,0.850,B
41.200,A,0.850,B
41.400,A,0.850,B
41.600,A,0.850,B
41.800,A,0.850,B
42.000,A,0.750,C
42.200,A,0.750,C
42.400,A,0.750,C
42.600,A,0.750,C
42.800,A,0.750,C
43.000,A,0.750,C
43.200,A,0.750,C
43.400,A,0.750,C
43.600,A,0.750,C
43.800,A,0.750,C
44.000,A,0.750,C
44.200,A,0.750,C
44.400,A,0.750,C
44.600,A,0.750,C
44.800,A,0.750,C
45.000,B,,C
